"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.791178037E0	5.028224889E1	7.612764481E0	8.391659680E1	7.500000000E-1	0.000000000E0	1.550000000E1	1.000000000E2
3.298067151E0	5.028224089E1	7.612803960E0	9.791658596E1	1.199999973E-1	0.000000000E0	8.500000000E0	1.000000000E2
4.362495227E0	5.028219630E1	7.612806978E0	1.049165464E2	7.000000030E-2	0.000000000E0	1.000000000E1	1.000000000E2
5.211440611E0	5.028220023E1	7.612763559E0	1.209165540E2	3.999999911E-2	0.000000000E0	6.000000000E0	1.000000000E2
6.219955880E0	5.028219994E1	7.612764901E0	1.209165536E2	0.000000000E0	0.000000000E0	6.000000000E0	1.000000000E2
7.197314417E0	5.028219902E1	7.612765236E0	1.209165528E2	0.000000000E0	0.000000000E0	5.500000000E0	1.000000000E2
8.203976609E0	5.028219902E1	7.612765236E0	1.209165528E2	0.000000000E0	0.000000000E0	5.500000000E0	1.000000000E2
9.215799416E0	5.028219856E1	7.612783173E0	1.159165507E2	9.999999776E-3	0.000000000E0	4.500000000E0	1.000000000E2
1.021586492E1	5.028219843E1	7.612783341E0	1.159165505E2	0.000000000E0	0.000000000E0	4.500000000E0	1.000000000E2
1.121554403E1	5.028219915E1	7.612782251E0	1.159165513E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
1.221787449E1	5.028219994E1	7.612782754E0	1.159165519E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
1.320734126E1	5.028219994E1	7.612782754E0	1.159165519E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
1.422154907E1	5.028219994E1	7.612782754E0	1.159165519E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
1.521857407E1	5.028219994E1	7.612782754E0	1.159165519E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
1.622142730E1	5.028219994E1	7.612782754E0	1.159165519E2	0.000000000E0	0.000000000E0	3.500000000E0	1.000000000E2
1.722986037E1	5.028219994E1	7.612782754E0	1.159165519E2	0.000000000E0	0.000000000E0	3.500000000E0	1.000000000E2
1.822390906E1	5.028221344E1	7.612775629E0	1.159165645E2	6.299999952E-1	2.336999969E2	3.000000000E0	1.000000000E2
1.922017422E1	5.028220795E1	7.612766661E0	1.149165605E2	2.440000057E0	2.418999939E2	3.000000000E0	1.000000000E2
2.021970752E1	5.028220862E1	7.612718213E0	1.169165658E2	4.259999752E0	2.635000000E2	2.500000000E0	1.000000000E2
2.121754418E1	5.028221511E1	7.612631209E0	1.189165798E2	6.009999752E0	2.926000061E2	2.500000000E0	1.000000000E2
2.220446052E1	5.028223389E1	7.612554347E0	1.189166037E2	8.059999466E0	2.958999939E2	2.000000000E0	1.000000000E2
2.322060606E1	5.028227282E1	7.612431301E0	1.189166498E2	1.388000011E1	2.948999939E2	2.500000000E0	1.000000000E2
2.423255002E1	5.028232785E1	7.612238852E0	1.189167168E2	1.728999901E1	2.940000000E2	2.000000000E0	1.000000000E2
2.522836333E1	5.028239998E1	7.611980438E0	1.189168051E2	2.337999916E1	2.940000000E2	2.000000000E0	1.000000000E2
2.622211979E1	5.028248451E1	7.611699058E0	1.189169066E2	2.270999908E1	2.950000000E2	2.000000000E0	1.000000000E2
2.721185025E1	5.028256942E1	7.611436620E0	1.189170066E2	1.906999969E1	3.010000000E2	2.000000000E0	1.000000000E2
2.821288452E1	5.028267536E1	7.611224558E0	1.209171203E2	1.913999939E1	3.135000000E2	2.000000000E0	1.000000000E2
2.924870498E1	5.028281186E1	7.611040324E0	1.209172583E2	2.094999886E1	3.245000000E2	2.000000000E0	1.000000000E2
3.023453171E1	5.028297720E1	7.610882828E0	1.209174192E2	2.217000008E1	3.343999939E2	2.000000000E0	1.000000000E2
3.121648359E1	5.028317886E1	7.610779898E0	1.209176068E2	2.501000023E1	3.492000122E2	2.000000000E0	1.000000000E2
3.223676136E1	5.028339181E1	7.610724326E0	1.209177999E2	2.471999931E1	3.533999939E2	2.500000000E0	1.000000000E2
3.324882863E1	5.028360207E1	7.610668251E0	1.229179906E2	2.269999886E1	3.521000061E2	2.000000000E0	1.000000000E2
3.424619617E1	5.028378718E1	7.610632293E0	1.239181572E2	1.951000023E1	3.512000122E2	2.000000000E0	1.000000000E2
3.524364686E1	5.028395402E1	7.610558700E0	1.269183114E2	1.811999893E1	3.497000122E2	2.000000000E0	1.000000000E2
3.623813736E1	5.028410494E1	7.610503547E0	1.279184497E2	1.761999893E1	3.427000122E2	2.000000000E0	1.000000000E2
4.319266435E1	5.028514706E1	7.608609321E0	1.609195515E2	2.368999863E1	3.041000061E2	2.950000000E1	1.000000000E2
4.424384374E1	5.028520171E1	7.608355936E0	1.419196242E2	2.303999901E1	3.046000061E2	9.000000000E0	1.000000000E2
4.525429704E1	5.028529244E1	7.608064832E0	1.469197324E2	2.135000038E1	3.062000122E2	9.000000000E0	1.000000000E2
4.625922366E1	5.028542676E1	7.607910102E0	1.529198659E2	2.037999916E1	3.063999939E2	4.500000000E0	1.000000000E2
4.725873216E1	5.028555995E1	7.607666943E0	1.539200070E2	2.019999886E1	3.101000061E2	3.500000000E0	1.000000000E2
4.826176531E1	5.028567357E1	7.607432166E0	1.529201299E2	1.885000038E1	3.122000122E2	3.000000000E0	1.000000000E2
4.924418512E1	5.028577621E1	7.607242735E0	1.519202388E2	1.652999878E1	3.101000061E2	2.500000000E0	1.000000000E2
5.024717443E1	5.028585944E1	7.607053053E0	1.519203307E2	1.531999969E1	2.998999939E2	2.500000000E0	1.000000000E2
5.125580489E1	5.028591836E1	7.606846523E0	1.529204027E2	1.602999878E1	2.837000122E2	2.500000000E0	1.000000000E2
5.226133981E1	5.028593425E1	7.606614595E0	1.539204392E2	1.714999962E1	2.716000061E2	2.000000000E0	1.000000000E2
5.325590385E1	5.028591979E1	7.606376885E0	1.549204495E2	1.760999870E1	2.638999939E2	2.000000000E0	1.000000000E2
