"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
0.000000000E0	5.030396600E1	7.618943100E0	1.749350973E2	NaN	NaN	3.686100006E1	8.000147820E0
2.841800344E0	5.030381410E1	7.618973125E0	1.599349607E2	1.700000018E-1	0.000000000E0	8.000000000E0	1.000000000E2
3.821584266E0	5.030395404E1	7.618985614E0	1.609350825E2	2.299999893E-1	0.000000000E0	8.000000000E0	1.000000000E2
4.850449073E0	5.030396209E1	7.618944291E0	1.639350938E2	3.299999833E-1	0.000000000E0	8.000000000E0	1.000000000E2
5.847531034E0	5.030393145E1	7.618980501E0	1.619350631E2	2.999999933E-2	0.000000000E0	8.500000000E0	1.000000000E2
6.868562841E0	5.030395831E1	7.618978154E0	1.619350870E2	8.999999613E-2	0.000000000E0	8.500000000E0	1.000000000E2
7.876163763E0	5.030397600E1	7.618970023E0	1.679351034E2	1.700000018E-1	0.000000000E0	8.000000000E0	1.000000000E2
8.187977571E0	5.030394323E1	7.618991062E0	1.689350724E2	2.099999934E-1	0.000000000E0	7.000000000E0	1.000000000E2
9.877340300E0	5.030399293E1	7.619027104E0	1.609351124E2	1.099999994E-1	0.000000000E0	3.500000000E0	1.000000000E2
1.088944726E1	5.030399310E1	7.619027104E0	1.609351126E2	0.000000000E0	0.000000000E0	3.500000000E0	1.000000000E2
1.187154361E1	5.030399310E1	7.619027104E0	1.609351126E2	0.000000000E0	0.000000000E0	3.500000000E0	1.000000000E2
1.287817022E1	5.030399310E1	7.619027104E0	1.609351126E2	0.000000000E0	0.000000000E0	3.500000000E0	1.000000000E2
1.317569395E1	5.030418860E1	7.618281100E0	1.749353605E2	NaN	NaN	5.290000153E1	2.603827095E1
1.385326649E1	5.030392994E1	7.619008664E0	1.439350589E2	3.999999911E-2	0.000000000E0	2.000000000E1	1.000000000E2
1.487709349E1	5.030397709E1	7.618982177E0	1.389351031E2	3.999999911E-2	0.000000000E0	8.500000000E0	1.000000000E2
1.631964960E1	5.030393816E1	7.619028864E0	1.659350641E2	4.999999702E-2	0.000000000E0	8.000000000E0	1.000000000E2
1.737722856E1	5.030393292E1	7.619000198E0	1.599350624E2	1.999999955E-2	0.000000000E0	8.000000000E0	1.000000000E2
1.830837191E1	5.030393577E1	7.618999612E0	1.619350650E2	0.000000000E0	0.000000000E0	1.000000000E1	1.000000000E2
1.928415899E1	5.030392307E1	7.619045628E0	1.579350491E2	4.999999702E-2	0.000000000E0	6.000000000E0	1.000000000E2
2.032468729E1	5.030392391E1	7.619045461E0	1.579350499E2	0.000000000E0	0.000000000E0	5.500000000E0	1.000000000E2
